Genome	contig	Start	Stop	protID
GCA_000007265	AE009948.1	275358	277398	260
GCA_000007265	AE009948.1	277409	277667	261
GCA_000007265	AE009948.1	277755	278019	262
GCA_000007265	AE009948.1	278133	279642	263
GCA_000007265	AE009948.1	279654	281484	264
GCA_000007265	AE009948.1	281495	282194	265
GCA_000007265	AE009948.1	282281	283619	266
GCA_000007265	AE009948.1	283609	285040	267
GCA_000007265	AE009948.1	285164	287150	268
GCA_000007265	AE009948.1	287362	287668	269
GCA_000007265	AE009948.1	287687	288422	270
GCA_000007265	AE009948.1	288425	290030	271
GCA_000007265	AE009948.1	290237	291623	272
GCA_000007265	AE009948.1	291763	292567	273
GCA_000007265	AE009948.1	292576	293830	274
GCA_000007265	AE009948.1	293912	294860	275
GCA_000007265	AE009948.1	294874	295201	276
GCA_000007265	AE009948.1	295309	297463	277
GCA_000007265	AE009948.1	297464	298475	278
GCA_000007265	AE009948.1	298572	299916	279
GCA_000007265	AE009948.1	300053	300866	280
GCA_000007265	AE009948.1	300960	301764	281
GCA_000007265	AE009948.1	301763	302507	282
GCA_000007265	AE009948.1	302628	302853	283
GCA_000007265	AE009948.1	302921	303836	284
GCA_000007265	AE009948.1	303993	305454	285
GCA_000007265	AE009948.1	305450	306272	286
GCA_000007265	AE009948.1	306384	307719	287
GCA_000007265	AE009948.1	307764	310017	288
GCA_000007265	AE009948.1	310003	310603	289
GCA_000007265	AE009948.1	310677	311196	290
GCA_000007265	AE009948.1	311316	311649	291
GCA_000007265	AE009948.1	312118	313273	292
GCA_000007265	AE009948.1	313285	314749	293
GCA_000007265	AE009948.1	314973	315456	294
GCA_000007265	AE009948.1	315644	317252	295
GCA_000007265	AE009948.1	317380	318277	296
GCA_000007265	AE009948.1	318263	319004	297
GCA_000007265	AE009948.1	319000	320086	298
GCA_000007265	AE009948.1	320087	320552	299
GCA_000007265	AE009948.1	320727	321432	300
GCA_000007265	AE009948.1	321598	322228	301
GCA_000007265	AE009948.1	322250	322565	302
GCA_000007265	AE009948.1	322638	325029	303
GCA_000007265	AE009948.1	325075	326011	304
GCA_000007265	AE009948.1	326000	327323	305
GCA_000007265	AE009948.1	327360	328098	306
GCA_000007265	AE009948.1	328097	330053	307
GCA_000007265	AE009948.1	330213	330909	308
GCA_000007265	AE009948.1	330905	331925	309
GCA_000007265	AE009948.1	331917	332559	310
GCA_000007265	AE009948.1	332600	334001	311
GCA_000007265	AE009948.1	334002	334359	312
GCA_000007265	AE009948.1	334405	335182	313
GCA_000007265	AE009948.1	335302	336058	314
GCA_000007265	AE009948.1	336176	337160	315
GCA_000007265	AE009948.1	337363	337687	316
GCA_000007265	AE009948.1	337703	338024	317
GCA_000007265	AE009948.1	338025	339327	318
GCA_000007265	AE009948.1	339507	341964	319
GCA_000007265	AE009948.1	341973	342642	320
GCA_000007265	AE009948.1	342709	343798	321
GCA_000007265	AE009948.1	343949	344876	322
GCA_000007265	AE009948.1	344966	345611	323
GCA_000007265	AE009948.1	345666	346956	324
GCA_000007265	AE009948.1	346955	347621	325
GCA_000007265	AE009948.1	347697	348252	326
GCA_000007265	AE009948.1	353791	355144	327
GCA_000007265	AE009948.1	355267	355888	328
GCA_000007265	AE009948.1	356024	356816	329
GCA_000007265	AE009948.1	356911	357346	330
GCA_000007265	AE009948.1	357345	358317	331
GCA_000007265	AE009948.1	358374	358599	332
GCA_000007265	AE009948.1	358753	359713	333
GCA_000007265	AE009948.1	359732	360659	334
GCA_000007265	AE009948.1	360667	361402	335
GCA_000007265	AE009948.1	361417	362650	336
GCA_000007265	AE009948.1	362615	363152	337
GCA_000007265	AE009948.1	363148	363571	338
GCA_000007265	AE009948.1	363608	364979	339
GCA_000007265	AE009948.1	364987	365863	340
GCA_000007265	AE009948.1	365855	366629	341
GCA_000007265	AE009948.1	367098	367731	342
GCA_000007265	AE009948.1	367776	369054	343
GCA_000007265	AE009948.1	369344	370412	344
GCA_000007265	AE009948.1	370449	370812	345
GCA_000007265	AE009948.1	370930	371842	346
GCA_000007265	AE009948.1	371856	372669	347
GCA_000007265	AE009948.1	372701	373712	348
GCA_000007265	AE009948.1	374014	374827	349
GCA_000007265	AE009948.1	374915	375500	350
GCA_000007265	AE009948.1	375589	376201	351
GCA_000007265	AE009948.1	376303	377725	352
GCA_000007265	AE009948.1	377873	378317	353
GCA_000007265	AE009948.1	378309	378831	354
GCA_000007265	AE009948.1	378839	380147	355
GCA_000007265	AE009948.1	380210	380507	356
GCA_000007265	AE009948.1	380503	380923	357
GCA_000007265	AE009948.1	381222	381762	358
GCA_000007265	AE009948.1	381813	381999	359
GCA_000007265	AE009948.1	382070	382796	360
GCA_000007265	AE009948.1	382797	383832	361
GCA_000007265	AE009948.1	383889	384690	362
GCA_000007265	AE009948.1	384679	385315	363
GCA_000007265	AE009948.1	385897	386281	364
GCA_000007265	AE009948.1	386328	387468	365
GCA_000007265	AE009948.1	387489	387786	366
GCA_000007265	AE009948.1	387778	388081	367
GCA_000007265	AE009948.1	388100	390884	368
GCA_000007265	AE009948.1	390992	391343	369
GCA_000007265	AE009948.1	391426	392431	370
GCA_000007265	AE009948.1	392594	393011	371
GCA_000007265	AE009948.1	393023	395258	372
GCA_000007265	AE009948.1	395298	395505	373
GCA_000007265	AE009948.1	395614	396229	374
GCA_000007265	AE009948.1	396243	397056	375
GCA_000007265	AE009948.1	397168	399811	376
GCA_000007265	AE009948.1	399840	400281	377
GCA_000007265	AE009948.1	400362	400842	378
GCA_000007265	AE009948.1	400994	402560	379
GCA_000007265	AE009948.1	402672	403359	380
GCA_000007265	AE009948.1	403360	404398	381
GCA_000007265	AE009948.1	404411	405152	382
GCA_000007265	AE009948.1	405338	406481	383
GCA_000007265	AE009948.1	406590	406899	384
GCA_000007265	AE009948.1	406905	407445	385
GCA_000007265	AE009948.1	407583	408360	386
GCA_000007265	AE009948.1	408359	408866	387
GCA_000007265	AE009948.1	409137	410487	388
GCA_000007265	AE009948.1	410808	411336	389
GCA_000007265	AE009948.1	411332	412004	390
GCA_000007265	AE009948.1	412135	413179	391
GCA_000007265	AE009948.1	413269	414169	392
GCA_000007265	AE009948.1	414205	415222	393
GCA_000007265	AE009948.1	415391	415721	394
GCA_000007265	AE009948.1	415937	416549	395
GCA_000007265	AE009948.1	416556	417378	396
GCA_000007265	AE009948.1	423099	423633	397
GCA_000007265	AE009948.1	423716	424493	398
GCA_000007265	AE009948.1	424591	425947	399
GCA_000007265	AE009948.1	426215	426677	400
GCA_000007265	AE009948.1	426819	427248	401
GCA_000007265	AE009948.1	427435	431137	402
GCA_000007265	AE009948.1	431346	432255	403
GCA_000007265	AE009948.1	432806	433817	404
GCA_000007265	AE009948.1	433817	434231	405
GCA_000007265	AE009948.1	434232	436398	406
GCA_000007265	AE009948.1	436460	439628	407
GCA_000007265	AE009948.1	439640	440030	408
GCA_000007265	AE009948.1	440073	440505	409
GCA_000007265	AE009948.1	440743	441028	410
GCA_000007265	AE009948.1	441114	441432	411
GCA_000007265	AE009948.1	441455	441851	412
GCA_000007265	AE009948.1	441860	442250	413
GCA_000007265	AE009948.1	442265	443303	414
GCA_000007265	AE009948.1	443412	444267	415
GCA_000007265	AE009948.1	444351	445215	416
GCA_000007265	AE009948.1	445346	445871	417
GCA_000007265	AE009948.1	446065	447259	418
GCA_000007265	AE009948.1	447506	451676	419
GCA_000007265	AE009948.1	452147	452252	420
GCA_000007265	AE009948.1	452387	452681	421
GCA_000007265	AE009948.1	452677	452866	422
GCA_000007265	AE009948.1	453018	453390	423
GCA_000007265	AE009948.1	454134	454341	424
GCA_000007265	AE009948.1	454617	454866	425
GCA_000007265	AE009948.1	454899	455115	426
GCA_000007265	AE009948.1	455762	456017	427
GCA_000007265	AE009948.1	456125	456437	428
GCA_000007265	AE009948.1	456704	457274	429
GCA_000007265	AE009948.1	457371	457956	430
GCA_000007265	AE009948.1	457952	458519	431
GCA_000007265	AE009948.1	458518	461170	432
GCA_000007265	AE009948.1	461340	462300	433
GCA_000007265	AE009948.1	462460	463324	434
GCA_000007265	AE009948.1	463370	464546	435
GCA_000007265	AE009948.1	464851	465916	436
GCA_000007265	AE009948.1	466029	467022	437
GCA_000007265	AE009948.1	467066	467516	438
GCA_000007265	AE009948.1	467645	468185	439
GCA_000007265	AE009948.1	468196	468487	440
GCA_000007265	AE009948.1	468483	468969	441
GCA_000007265	AE009948.1	468958	470032	442
GCA_000007265	AE009948.1	470106	470931	443
GCA_000007265	AE009948.1	470978	471422	444
GCA_000007265	AE009948.1	471507	472086	445
GCA_000007265	AE009948.1	472118	473243	446
GCA_000007265	AE009948.1	473242	473758	447
GCA_000007265	AE009948.1	473936	475682	448
GCA_000007265	AE009948.1	475671	477411	449
GCA_000007265	AE009948.1	477517	478105	450
GCA_000007265	AE009948.1	478171	478711	451
GCA_000007265	AE009948.1	478711	479704	452
GCA_000007265	AE009948.1	479827	480322	453
GCA_000007265	AE009948.1	480331	481447	454
GCA_000007265	AE009948.1	481439	482669	455
GCA_000007265	AE009948.1	482781	483414	456
GCA_000007265	AE009948.1	483414	483804	457
GCA_000007265	AE009948.1	483964	484174	458
GCA_000007265	AE009948.1	484170	485139	459
GCA_000007265	AE009948.1	485150	485531	460
GCA_000007265	AE009948.1	485762	487604	461
GCA_000007265	AE009948.1	487648	487894	462
GCA_000007265	AE009948.1	488023	489379	463
GCA_000007265	AE009948.1	489381	490458	464
GCA_000007265	AE009948.1	490461	491598	465
GCA_000007265	AE009948.1	491869	493243	466
GCA_000007265	AE009948.1	493264	494545	467
GCA_000007265	AE009948.1	494550	495225	468
GCA_000007265	AE009948.1	495236	495842	469
GCA_000007265	AE009948.1	495844	496099	470
GCA_000007265	AE009948.1	496100	496889	471
GCA_000007265	AE009948.1	496898	497669	472
GCA_000007265	AE009948.1	497953	500746	473
GCA_000007265	AE009948.1	500862	501165	474
GCA_000007265	AE009948.1	501228	501684	475
GCA_000007265	AE009948.1	501869	504131	476
GCA_000007265	AE009948.1	504428	504659	477
GCA_000007265	AE009948.1	504800	505493	478
GCA_000007265	AE009948.1	505485	506220	479
GCA_000007265	AE009948.1	506506	508201	480
GCA_000007265	AE009948.1	508339	509194	481
GCA_000007265	AE009948.1	509190	510027	482
GCA_000007265	AE009948.1	510152	511493	483
GCA_000007265	AE009948.1	511470	511686	484
GCA_000007265	AE009948.1	511685	512558	485
GCA_000007265	AE009948.1	512550	513378	486
GCA_000007265	AE009948.1	513364	513838	487
GCA_000007265	AE009948.1	513849	515508	488
GCA_000007265	AE009948.1	515620	516457	489
GCA_000007265	AE009948.1	516431	517289	490
GCA_000007265	AE009948.1	517263	517866	491
GCA_000007265	AE009948.1	517968	518244	492
GCA_000007265	AE009948.1	518440	518638	493
GCA_000007265	AE009948.1	518681	519614	494
GCA_000007265	AE009948.1	519800	521036	495
GCA_000007265	AE009948.1	521054	522266	496
GCA_000007265	AE009948.1	522278	523499	497
GCA_000007265	AE009948.1	523498	524311	498
GCA_000007265	AE009948.1	524381	525698	499
GCA_000007265	AE009948.1	525773	526160	500
GCA_000007265	AE009948.1	526503	529188	501
GCA_000007265	AE009948.1	529232	530093	502
GCA_000007265	AE009948.1	530244	532176	503
GCA_000007265	AE009948.1	532265	533390	504
GCA_000007265	AE009948.1	533543	534557	505
GCA_000007265	AE009948.1	534575	535268	506
GCA_000007265	AE009948.1	535251	536181	507
GCA_000007265	AE009948.1	536233	536944	508
GCA_000007265	AE009948.1	536940	537576	509
GCA_000007265	AE009948.1	537806	538571	510
GCA_000007265	AE009948.1	538678	541186	511
GCA_000007265	AE009948.1	541271	542465	512
GCA_000007265	AE009948.1	542485	543832	513
GCA_000007265	AE009948.1	543871	544429	514
GCA_000007265	AE009948.1	544425	545409	515
GCA_000007265	AE009948.1	545654	546068	516
GCA_000007265	AE009948.1	546221	547112	517
GCA_000007265	AE009948.1	547108	548083	518
GCA_000007265	AE009948.1	548079	548991	519
GCA_000007265	AE009948.1	549005	550403	520
GCA_000007265	AE009948.1	550544	552065	521
GCA_000007265	AE009948.1	552177	552438	522
GCA_000007265	AE009948.1	552546	553482	523
GCA_000007265	AE009948.1	553747	554770	524
GCA_000007265	AE009948.1	554828	555272	525
GCA_000007265	AE009948.1	555348	555624	526
GCA_000007265	AE009948.1	555616	556813	527
GCA_000007265	AE009948.1	557265	557649	528
GCA_000007265	AE009948.1	557681	558071	529
GCA_000007265	AE009948.1	558253	558601	530
GCA_000007265	AE009948.1	558825	559905	531
GCA_000007265	AE009948.1	560027	560231	532
GCA_000007265	AE009948.1	560333	560891	533
GCA_000007265	AE009948.1	560892	561690	534
GCA_000007265	AE009948.1	562190	562415	535
GCA_000007265	AE009948.1	562473	562632	536
GCA_000007265	AE009948.1	562661	562850	537
GCA_000007265	AE009948.1	562832	563639	538
GCA_000007265	AE009948.1	563690	563882	539
GCA_000007265	AE009948.1	563949	564699	540
GCA_000007265	AE009948.1	564710	564854	541
GCA_000007265	AE009948.1	565003	565234	542
GCA_000007265	AE009948.1	565371	565596	543
GCA_000007265	AE009948.1	565606	566467	544
GCA_000007265	AE009948.1	566447	566681	545
GCA_000007265	AE009948.1	566677	566818	546
GCA_000007265	AE009948.1	566828	567083	547
GCA_000007265	AE009948.1	567248	567731	548
GCA_000007265	AE009948.1	567731	568406	549
GCA_000007265	AE009948.1	568398	568815	550
GCA_000007265	AE009948.1	569395	570715	551
GCA_000007265	AE009948.1	570840	571044	552
GCA_000007265	AE009948.1	571033	571510	553
GCA_000007265	AE009948.1	571499	571847	554
GCA_000007265	AE009948.1	571858	572161	555
GCA_000007265	AE009948.1	572164	572296	556
GCA_000007265	AE009948.1	572295	572712	557
GCA_000007265	AE009948.1	572708	572873	558
GCA_000007265	AE009948.1	572869	573139	559
GCA_000007265	AE009948.1	573141	573474	560
GCA_000007265	AE009948.1	573556	573688	561
GCA_000007265	AE009948.1	573780	574314	562
GCA_000007265	AE009948.1	574310	574577	563
GCA_000007265	AE009948.1	574967	575393	564
GCA_000007265	AE009948.1	576504	576861	565
GCA_000007265	AE009948.1	576857	578126	566
GCA_000007265	AE009948.1	578118	579339	567
GCA_000007265	AE009948.1	579338	579527	568
GCA_000007265	AE009948.1	579634	581050	569
GCA_000007265	AE009948.1	581130	581595	570
GCA_000007265	AE009948.1	581597	582500	571
GCA_000007265	AE009948.1	582496	582712	572
GCA_000007265	AE009948.1	582725	583157	573
GCA_000007265	AE009948.1	583107	583446	574
GCA_000007265	AE009948.1	583438	583675	575
GCA_000007265	AE009948.1	583675	584011	576
GCA_000007265	AE009948.1	584020	584578	577
GCA_000007265	AE009948.1	584577	584823	578
GCA_000007265	AE009948.1	584837	585209	579
GCA_000007265	AE009948.1	585208	587221	580
GCA_000007265	AE009948.1	587214	588735	581
GCA_000007265	AE009948.1	588735	592860	582
GCA_000007265	AE009948.1	592870	594877	583
GCA_000007265	AE009948.1	594902	595232	584
GCA_000007265	AE009948.1	595206	595419	585
GCA_000007265	AE009948.1	595431	595734	586
GCA_000007265	AE009948.1	595735	596071	587
GCA_000007265	AE009948.1	596072	596792	588
GCA_000007265	AE009948.1	597124	598096	589
GCA_000007265	AE009948.1	598199	598400	590
GCA_000007265	AE009948.1	598440	598611	591
GCA_000007265	AE009948.1	599027	599207	592
GCA_000007265	AE009948.1	599306	599888	593
GCA_000007265	AE009948.1	599923	600190	594
GCA_000007265	AE009948.1	600366	600594	595
GCA_000007265	AE009948.1	600755	600956	596
GCA_000007265	AE009948.1	600980	601238	597
GCA_000007265	AE009948.1	602648	603926	598
GCA_000007265	AE009948.1	603935	604592	599
GCA_000007265	AE009948.1	604591	605968	600
GCA_000007265	AE009948.1	606064	606718	601
GCA_000007265	AE009948.1	606714	608034	602
GCA_000007265	AE009948.1	608085	608697	603
GCA_000007265	AE009948.1	608910	609111	604
GCA_000007265	AE009948.1	609765	610971	605
GCA_000007265	AE009948.1	611089	611650	606
GCA_000007265	AE009948.1	611650	613603	607
